Date,Open_Bid,High_Bid,Low_Bid,Close_Bid,Average_Bid,Open_Ask,High_Ask,Low_Ask,Close_Ask,Average_Ask,Broker
1/1/2015,0.89053,0.90044,0.88849,0.89431,0.8934425,0.89616,0.90607,0.89412,0.89994,0.8990725,CMC Market
1/2/2015,0.89576,0.89654,0.89468,0.89645,0.8958575,0.90139,0.90217,0.90031,0.90208,0.9014875,CMC Market
1/3/2015,0.8964,0.89823,0.89349,0.89672,0.89621,0.90203,0.90386,0.89912,0.90235,0.90184,CMC Market
1/4/2015,0.89672,0.89672,0.88933,0.89168,0.8936125,0.90235,0.90235,0.89496,0.89731,0.8992425,CMC Market
1/5/2015,0.89168,0.89523,0.88838,0.88888,0.8910425,0.89731,0.90086,0.89401,0.89451,0.8966725,CMC Market
1/6/2015,0.8889,0.89123,0.88645,0.88954,0.88903,0.89453,0.89686,0.89208,0.89517,0.89466,CMC Market
1/7/2015,0.88954,0.90046,0.88755,0.89939,0.894235,0.89517,0.90609,0.89318,0.90502,0.899865,CMC Market
1/8/2015,0.887302667,0.896112667,0.884208,0.892812667,0.890109,0.892932667,0.901742667,0.889838,0.898442667,0.895739,CMC Market
1/9/2015,0.885627238,0.896030095,0.882558857,0.892537238,0.889188357,0.891257238,0.901660095,0.888188857,0.898167238,0.894818357,CMC Market
1/10/2015,0.90474,0.90542,0.89509,0.89601,0.900315,0.91037,0.91105,0.90072,0.90164,0.905945,CMC Market
1/11/2015,0.89601,0.89703,0.88874,0.8904,0.893045,0.90164,0.90266,0.89437,0.89603,0.898675,CMC Market
1/12/2015,0.89039,0.89051,0.87765,0.88198,0.8851325,0.89602,0.89614,0.88328,0.88761,0.8907625,CMC Market
1/13/2015,0.88198,0.88272,0.87632,0.87776,0.879695,0.88761,0.88835,0.88195,0.88339,0.885325,CMC Market
1/14/2015,0.87718,0.8781,0.87685,0.87732,0.8773625,0.88281,0.88373,0.88248,0.88295,0.8829925,CMC Market
1/15/2015,0.87732,0.8825,0.87566,0.88037,0.8789625,0.88295,0.88813,0.88129,0.886,0.8845925,CMC Market
1/16/2015,0.88037,0.88373,0.87753,0.88013,0.88044,0.886,0.88936,0.88316,0.88576,0.88607,CMC Market
1/17/2015,0.88015,0.88877,0.87857,0.88438,0.8829675,0.88578,0.8944,0.8842,0.89001,0.8885975,CMC Market
1/18/2015,0.88438,0.88468,0.87313,0.87575,0.879485,0.89001,0.89031,0.87876,0.88138,0.885115,CMC Market
1/19/2015,0.87576,0.8775,0.866,0.86795,0.8718025,0.88139,0.88313,0.87163,0.87358,0.8774325,CMC Market
1/20/2015,0.86921,0.87038,0.86854,0.86944,0.8693925,0.87484,0.87601,0.87417,0.87507,0.8750225,CMC Market
1/21/2015,0.86944,0.87592,0.86775,0.8731,0.8715525,0.87507,0.88155,0.87338,0.87873,0.8771825,CMC Market
1/22/2015,0.87307,0.88205,0.87301,0.87849,0.876655,0.8787,0.88768,0.87864,0.88412,0.882285,CMC Market
1/23/2015,0.87849,0.88254,0.87245,0.87465,0.8770325,0.88412,0.88817,0.87808,0.88028,0.8826625,CMC Market
1/24/2015,0.87465,0.8804,0.87101,0.87952,0.876395,0.88028,0.88603,0.87664,0.88515,0.882025,CMC Market
