Date,Open_Bid,High_Bid,Low_Bid,Close_Bid,Average_Bid,Open_Ask,High_Ask,Low_Ask,Close_Ask,Average_Ask,Broker
1/1/2015,1.35935,1.36005,1.3589,1.35955,1.3594625,1.36498,1.36568,1.36453,1.36518,1.3650925,CMC Market
1/2/2015,1.35957,1.36527,1.35715,1.36296,1.3612375,1.3652,1.3709,1.36278,1.36859,1.3668675,CMC Market
1/3/2015,1.36297,1.36562,1.35965,1.3617,1.362485,1.3686,1.37125,1.36528,1.36733,1.368115,CMC Market
1/4/2015,1.3617,1.3635,1.35529,1.35715,1.35941,1.36733,1.36913,1.36092,1.36278,1.36504,CMC Market
1/5/2015,1.35714,1.3633,1.3548,1.36062,1.358965,1.36277,1.36893,1.36043,1.36625,1.364595,CMC Market
1/6/2015,1.36062,1.36869,1.3571,1.36661,1.363255,1.36625,1.37432,1.36273,1.37224,1.368885,CMC Market
1/7/2015,1.36783,1.36786,1.36643,1.3672,1.36733,1.37346,1.37349,1.37206,1.37283,1.37296,CMC Market
1/8/2015,1.36719,1.36847,1.3637,1.36686,1.366555,1.37282,1.3741,1.36933,1.37249,1.372185,CMC Market
1/9/2015,1.36684,1.36993,1.3649,1.36671,1.367095,1.37247,1.37556,1.37053,1.37234,1.372725,CMC Market
1/10/2015,1.3667,1.36731,1.35814,1.35995,1.363025,1.37233,1.37294,1.36377,1.36558,1.368655,CMC Market
1/11/2015,1.35994,1.36493,1.3583,1.36154,1.3611775,1.36557,1.37056,1.36393,1.36717,1.3668075,CMC Market
1/12/2015,1.36153,1.36209,1.35169,1.35389,1.3573,1.36716,1.36772,1.35732,1.35952,1.36293,CMC Market
1/13/2015,1.35373,1.35375,1.35248,1.3527,1.353165,1.35936,1.35938,1.35811,1.35833,1.358795,CMC Market
1/14/2015,1.35272,1.35679,1.35075,1.35459,1.3537125,1.35835,1.36242,1.35638,1.36022,1.3593425,CMC Market
1/15/2015,1.35457,1.35687,1.35164,1.35572,1.3547,1.3602,1.3625,1.35727,1.36135,1.36033,CMC Market
1/16/2015,1.35571,1.35835,1.35345,1.35439,1.355475,1.36134,1.36398,1.35908,1.36002,1.361105,CMC Market
1/17/2015,1.35439,1.36983,1.35303,1.36882,1.3615175,1.36002,1.37546,1.35866,1.37445,1.3671475,CMC Market
1/18/2015,1.36882,1.37394,1.36627,1.36737,1.3691,1.37445,1.37957,1.3719,1.373,1.37473,CMC Market
1/19/2015,1.36773,1.36906,1.36731,1.36867,1.3681925,1.37336,1.37469,1.37294,1.3743,1.3738225,CMC Market
1/20/2015,1.36868,1.37166,1.36531,1.36741,1.368265,1.37431,1.37729,1.37094,1.37304,1.373895,CMC Market
1/21/2015,1.36741,1.36885,1.3629,1.3654,1.36614,1.37304,1.37448,1.36853,1.37103,1.37177,CMC Market
1/22/2015,1.36538,1.36846,1.3603,1.36574,1.36497,1.37101,1.37409,1.36593,1.37137,1.3706,CMC Market
1/23/2015,1.36572,1.36624,1.35434,1.35574,1.36051,1.37135,1.37187,1.35997,1.36137,1.36614,CMC Market
1/24/2015,1.35575,1.35728,1.3479,1.34904,1.3524925,1.36138,1.36291,1.35353,1.35467,1.3581225,CMC Market
1/25/2015,1.34842,1.34912,1.34818,1.34873,1.3486125,1.35405,1.35475,1.35381,1.35436,1.3542425,CMC Market
1/26/2015,1.34873,1.35354,1.34772,1.35226,1.3505625,1.35436,1.35917,1.35335,1.35789,1.3561925,CMC Market
1/27/2015,1.35226,1.35385,1.34934,1.35159,1.35176,1.35789,1.35948,1.35497,1.35722,1.35739,CMC Market
1/28/2015,1.35156,1.35554,1.3499,1.35337,1.3525925,1.35719,1.36117,1.35553,1.359,1.3582225,CMC Market
1/29/2015,1.35338,1.36188,1.3482,1.35917,1.3556575,1.35901,1.36751,1.35383,1.3648,1.3612875,CMC Market
1/30/2015,1.35916,1.36424,1.35519,1.36342,1.3605025,1.36479,1.36987,1.36082,1.36905,1.3661325,CMC Market
1/31/2015,1.36163,1.36269,1.3616,1.36186,1.361945,1.36726,1.36832,1.36723,1.36749,1.367575,CMC Market
2/1/2015,1.36185,1.36514,1.36184,1.36451,1.363335,1.36748,1.37077,1.36747,1.37014,1.368965,CMC Market
2/2/2015,1.36451,1.36829,1.36295,1.36366,1.3648525,1.37014,1.37392,1.36858,1.36929,1.3704825,CMC Market
2/3/2015,1.36366,1.36527,1.35623,1.35877,1.3609825,1.36929,1.3709,1.36186,1.3644,1.3666125,CMC Market
2/4/2015,1.35876,1.36918,1.35855,1.36759,1.36352,1.36439,1.37481,1.36418,1.37322,1.36915,CMC Market
2/5/2015,1.36759,1.37147,1.36736,1.36914,1.36889,1.37322,1.3771,1.37299,1.37477,1.37452,CMC Market
2/6/2015,1.37083,1.37097,1.3695,1.37041,1.3704275,1.37646,1.3766,1.37513,1.37604,1.3760575,CMC Market
2/7/2015,1.37041,1.3724,1.36921,1.37038,1.3706,1.37604,1.37803,1.37484,1.37601,1.37623,CMC Market
2/8/2015,1.37036,1.37704,1.36946,1.37603,1.3732225,1.37599,1.38267,1.37509,1.38166,1.3788525,CMC Market
2/9/2015,1.37603,1.37731,1.37244,1.37293,1.3746775,1.38166,1.38294,1.37807,1.37856,1.3803075,CMC Market
2/10/2015,1.37293,1.37625,1.36855,1.37205,1.372445,1.37856,1.38188,1.37418,1.37768,1.378075,CMC Market
2/11/2015,1.37205,1.37586,1.3702,1.37375,1.372965,1.37768,1.38149,1.37583,1.37938,1.378595,CMC Market
2/12/2015,1.37326,1.37414,1.37325,1.37375,1.3736,1.37889,1.37977,1.37888,1.37938,1.37923,CMC Market
2/13/2015,1.37376,1.3771,1.37084,1.37345,1.3737875,1.37939,1.38273,1.37647,1.37908,1.3794175,CMC Market
2/14/2015,1.37345,1.37671,1.37155,1.37458,1.3740725,1.37908,1.38234,1.37718,1.38021,1.3797025,CMC Market
2/15/2015,1.37457,1.37571,1.36617,1.36809,1.371135,1.3802,1.38134,1.3718,1.37372,1.376765,CMC Market
2/16/2015,1.36808,1.37268,1.36432,1.37061,1.3689225,1.37371,1.37831,1.36995,1.37624,1.3745525,CMC Market
2/17/2015,1.37064,1.38248,1.36941,1.38004,1.3756425,1.37627,1.38811,1.37504,1.38567,1.3812725,CMC Market
2/18/2015,1.37593,1.3788,1.37551,1.3774,1.37691,1.38156,1.38443,1.38114,1.38303,1.38254,CMC Market
2/19/2015,1.37741,1.37926,1.37263,1.37355,1.3757125,1.38304,1.38489,1.37826,1.37918,1.3813425,CMC Market
