Date,USD_AUD,USD_EUR,USD_GBP,USD_INR,USD_JPY
1/3/2000,1.5172,0.9847,0.6146,43.55,101.7
1/4/2000,1.5239,0.97,0.6109,43.55,103.09
1/5/2000,1.5267,0.9676,0.6092,43.55,103.77
1/6/2000,1.5291,0.9686,0.607,43.55,105.19
1/7/2000,1.5272,0.9714,0.6104,43.55,105.17
1/10/2000,1.5242,0.9754,0.6107,43.55,105.28
1/11/2000,1.5209,0.9688,0.6068,43.6,106.09
1/12/2000,1.5202,0.9727,0.6073,43.6,105.76
1/13/2000,1.4954,0.9737,0.6067,43.55,106.09
1/14/2000,1.5004,0.9874,0.6115,43.55,105.86
1/18/2000,1.506,0.988,0.6105,43.6,105.49
1/19/2000,1.5074,0.9886,0.6083,43.6,105.39
1/20/2000,1.5002,0.9869,0.6047,43.6,105.45
1/21/2000,1.5103,0.9901,0.6059,43.6,104.96
1/24/2000,1.5281,0.9981,0.6053,43.62,105.52
1/25/2000,1.5286,0.9959,0.6067,43.59,105.87
1/26/2000,1.5373,0.9989,0.6099,43.65,105.85
1/27/2000,1.5267,1.0111,0.6111,43.63,104.91
1/28/2000,1.5962,1.0241,0.6169,43.65,107.15
1/31/2000,1.5669,1.0249,0.618,43.65,107.33
2/1/2000,1.5835,1.0276,0.6192,43.62,107.67
2/2/2000,1.5723,1.0238,0.6227,43.65,108.4
2/3/2000,1.5657,1.0114,0.624,43.65,107.92
2/4/2000,1.5835,1.0246,0.6283,43.65,107.54
2/7/2000,1.5775,1.0222,0.6283,43.64,108.75
2/8/2000,1.5741,1.014,0.6209,43.63,109.59
2/9/2000,1.576,1.0087,0.6205,43.65,109.11
2/10/2000,1.5823,1.0137,0.6228,43.58,108.74
2/11/2000,1.5918,1.0155,0.628,43.65,108.99
2/14/2000,1.5926,1.0222,0.6293,43.65,108.65
2/15/2000,1.5873,1.0169,0.627,43.64,108.75
2/16/2000,1.587,1.0161,0.6234,43.75,109.38
2/17/2000,1.5823,1.0139,0.6231,43.68,110.27
2/18/2000,1.5893,1.0152,0.6256,43.68,110.88
2/22/2000,1.5982,0.994,0.6186,43.65,111.04
2/23/2000,1.6139,0.9983,0.6232,43.68,111.11
2/24/2000,1.6276,1.0069,0.6257,43.65,110.95
2/25/2000,1.6194,1.0243,0.6286,43.65,110.98
2/28/2000,1.6351,1.0342,0.6275,43.68,109.17
2/29/2000,1.6247,1.037,0.6337,43.65,109.88
3/1/2000,1.6483,1.0309,0.631,43.63,107.1
3/2/2000,1.6455,1.0396,0.6343,43.65,107.37
3/3/2000,1.6442,1.0397,0.6325,43.65,107.8
3/6/2000,1.6622,1.0413,0.6356,43.63,107.74
3/7/2000,1.657,1.046,0.634,43.63,106.2
3/8/2000,1.641,1.0443,0.6307,43.65,106.89
3/9/2000,1.6247,1.0326,0.6323,43.63,106.45
3/10/2000,1.6297,1.0353,0.6332,43.65,106.27
3/13/2000,1.6221,1.0365,0.6336,43.65,105.32
3/14/2000,1.6287,1.0369,0.6359,43.64,104.85
3/15/2000,1.6327,1.0314,0.6357,43.65,105.58
3/16/2000,1.6375,1.0299,0.635,43.58,105.63
3/17/2000,1.6483,1.0316,0.6367,43.65,106.1
3/20/2000,1.6488,1.0299,0.6375,43.63,106.5
3/21/2000,1.6393,1.0306,0.6359,43.59,106.91
3/22/2000,1.6513,1.0408,0.6367,43.65,106.77
3/23/2000,1.6554,1.0319,0.6317,43.65,107.45
3/24/2000,1.6491,1.0284,0.6285,43.65,107.25
3/27/2000,1.6356,1.0368,0.6307,43.62,107.13
3/28/2000,1.6284,1.0401,0.63,43.65,105.9
3/29/2000,1.6329,1.05,0.6301,43.65,105.6
3/30/2000,1.6327,1.0423,0.6281,43.65,105.53
3/31/2000,1.6496,1.0445,0.6281,43.65,102.73
4/3/2000,1.6466,1.046,0.6258,43.632,104.82
4/4/2000,1.6578,1.043,0.6264,43.65,105.33
4/5/2000,1.6521,1.0366,0.6289,43.68,105
4/6/2000,1.6622,1.0438,0.6329,43.65,104.78
