Date,Open_Bid,High_Bid,Low_Bid,Close_Bid,Average_Bid,Open_Ask,High_Ask,Low_Ask,Close_Ask,Average_Ask,Broker
1/1/2015,1.06694,1.06717,1.06023,1.06308,1.064355,1.07257,1.0728,1.06586,1.06871,1.069985,CMC Market
1/2/2015,1.06312,1.06399,1.06308,1.06317,1.06334,1.06875,1.06962,1.06871,1.0688,1.06897,CMC Market
1/3/2015,1.06318,1.06804,1.06087,1.06611,1.06455,1.06881,1.07367,1.0665,1.07174,1.07018,CMC Market
1/4/2015,1.06611,1.07809,1.06591,1.07749,1.0719,1.07174,1.08372,1.07154,1.08312,1.07753,CMC Market
1/5/2015,1.0775,1.08299,1.07733,1.08235,1.0800425,1.08313,1.08862,1.08296,1.08798,1.0856725,CMC Market
1/6/2015,1.08237,1.08742,1.08187,1.08461,1.0840675,1.088,1.09305,1.0875,1.09024,1.0896975,CMC Market
1/7/2015,1.08461,1.09456,1.08374,1.08896,1.0879675,1.09024,1.10019,1.08937,1.09459,1.0935975,CMC Market
1/8/2015,1.09055,1.09087,1.09038,1.09057,1.0905925,1.09618,1.0965,1.09601,1.0962,1.0962225,CMC Market
1/9/2015,1.09058,1.09291,1.08426,1.08817,1.08898,1.09621,1.09854,1.08989,1.0938,1.09461,CMC Market
1/10/2015,1.08817,1.09585,1.08789,1.09484,1.0916875,1.0938,1.10148,1.09352,1.10047,1.0973175,CMC Market
1/11/2015,1.09484,1.09909,1.092,1.09485,1.095195,1.10047,1.10472,1.09763,1.10048,1.100825,CMC Market
1/12/2015,1.09485,1.09624,1.09048,1.09331,1.09372,1.10048,1.10187,1.09611,1.09894,1.09935,CMC Market
1/13/2015,1.09331,1.0983,1.09256,1.0959,1.0950175,1.09894,1.10393,1.09819,1.10153,1.1006475,CMC Market
1/14/2015,1.09611,1.09692,1.09611,1.09662,1.09644,1.10174,1.10255,1.10174,1.10225,1.10207,CMC Market
1/15/2015,1.09661,1.0972,1.09294,1.09548,1.0955575,1.10224,1.10283,1.09857,1.10111,1.1011875,CMC Market
1/16/2015,1.09543,1.10186,1.0947,1.09706,1.0972625,1.10106,1.10749,1.10033,1.10269,1.1028925,CMC Market
1/17/2015,1.09706,1.11046,1.09534,1.11034,1.1033,1.10269,1.11609,1.10097,1.11597,1.10893,CMC Market
1/18/2015,1.11034,1.11732,1.10919,1.1113,1.1120375,1.11597,1.12295,1.11482,1.11693,1.1176675,CMC Market
1/19/2015,1.1113,1.11374,1.10519,1.10864,1.1097175,1.11693,1.11937,1.11082,1.11427,1.1153475,CMC Market
1/20/2015,1.10645,1.10694,1.10611,1.10624,1.106435,1.11208,1.11257,1.11174,1.11187,1.112065,CMC Market
1/21/2015,1.10624,1.11187,1.10312,1.11156,1.1081975,1.11187,1.1175,1.10875,1.11719,1.1138275,CMC Market
1/22/2015,1.11151,1.11765,1.10781,1.11455,1.11288,1.11714,1.12328,1.11344,1.12018,1.11851,CMC Market
1/23/2015,1.11454,1.11864,1.11023,1.11825,1.115415,1.12017,1.12427,1.11586,1.12388,1.121045,CMC Market
1/24/2015,1.1183,1.11985,1.11505,1.11574,1.117235,1.12393,1.12548,1.12068,1.12137,1.122865,CMC Market
1/25/2015,1.11574,1.12243,1.10873,1.11294,1.11496,1.12137,1.12806,1.11436,1.11857,1.12059,CMC Market
1/26/2015,1.11138,1.11268,1.11126,1.11238,1.111925,1.11701,1.11831,1.11689,1.11801,1.117555,CMC Market
1/27/2015,1.11239,1.11333,1.10409,1.11091,1.11018,1.11802,1.11896,1.10972,1.11654,1.11581,CMC Market
1/28/2015,1.11091,1.11233,1.10482,1.10844,1.109125,1.11654,1.11796,1.11045,1.11407,1.114755,CMC Market
1/29/2015,1.10842,1.11209,1.10369,1.10787,1.1080175,1.11405,1.11772,1.10932,1.1135,1.1136475,CMC Market
1/30/2015,1.10787,1.11221,1.10506,1.10697,1.1080275,1.1135,1.11784,1.11069,1.1126,1.1136575,CMC Market
1/31/2015,1.10697,1.10789,1.09674,1.10295,1.1036375,1.1126,1.11352,1.10237,1.10858,1.1092675,CMC Market
2/1/2015,1.10346,1.10411,1.10338,1.10381,1.10369,1.10909,1.10974,1.10901,1.10944,1.10932,CMC Market
2/2/2015,1.10381,1.1062,1.10181,1.10576,1.104395,1.10944,1.11183,1.10744,1.11139,1.110025,CMC Market
2/3/2015,1.10574,1.10903,1.10028,1.10116,1.1040525,1.11137,1.11466,1.10591,1.10679,1.1096825,CMC Market
2/4/2015,1.10116,1.10248,1.09759,1.09959,1.100205,1.10679,1.10811,1.10322,1.10522,1.105835,CMC Market
2/5/2015,1.09959,1.10261,1.09542,1.09778,1.09885,1.10522,1.10824,1.10105,1.10341,1.10448,CMC Market
2/6/2015,1.09777,1.09897,1.094,1.09797,1.0971775,1.1034,1.1046,1.09963,1.1036,1.1028075,CMC Market
2/7/2015,1.09849,1.09867,1.09714,1.09734,1.09791,1.10412,1.1043,1.10277,1.10297,1.10354,CMC Market
2/8/2015,1.09734,1.09828,1.09526,1.09563,1.0966275,1.10297,1.10391,1.10089,1.10126,1.1022575,CMC Market
2/9/2015,1.09563,1.09762,1.09399,1.09528,1.09563,1.10126,1.10325,1.09962,1.10091,1.10126,CMC Market
2/10/2015,1.09527,1.10864,1.09101,1.10734,1.100565,1.1009,1.11427,1.09664,1.11297,1.106195,CMC Market
2/11/2015,1.10734,1.11125,1.10604,1.11026,1.1087225,1.11297,1.11688,1.11167,1.11589,1.1143525,CMC Market
2/12/2015,1.11027,1.11928,1.11025,1.11078,1.112645,1.1159,1.12491,1.11588,1.11641,1.118275,CMC Market
2/13/2015,1.11048,1.11142,1.11019,1.11126,1.1108375,1.11611,1.11705,1.11582,1.11689,1.1164675,CMC Market
2/14/2015,1.11124,1.11429,1.10543,1.10594,1.109225,1.11687,1.11992,1.11106,1.11157,1.114855,CMC Market
2/15/2015,1.10594,1.10958,1.1054,1.1085,1.107355,1.11157,1.11521,1.11103,1.11413,1.112985,CMC Market
2/16/2015,1.10851,1.1144,1.1073,1.11367,1.11097,1.11414,1.12003,1.11293,1.1193,1.1166,CMC Market
2/17/2015,1.11371,1.11597,1.11176,1.11225,1.1134225,1.11934,1.1216,1.11739,1.11788,1.1190525,CMC Market
2/18/2015,1.11222,1.11467,1.10402,1.10631,1.109305,1.11785,1.1203,1.10965,1.11194,1.114935,CMC Market
2/19/2015,1.10759,1.10819,1.10622,1.10634,1.107085,1.11322,1.11382,1.11185,1.11197,1.112715,CMC Market
2/20/2015,1.10634,1.11098,1.10387,1.10805,1.10731,1.11197,1.11661,1.1095,1.11368,1.11294,CMC Market
2/21/2015,1.108,1.11176,1.1062,1.10873,1.1086725,1.11363,1.11739,1.11183,1.11436,1.1143025,CMC Market
2/22/2015,1.10875,1.10988,1.10247,1.10296,1.106015,1.11438,1.11551,1.1081,1.10859,1.111645,CMC Market
2/23/2015,1.10296,1.10459,1.09551,1.09868,1.100435,1.10859,1.11022,1.10114,1.10431,1.106065,CMC Market
2/24/2015,1.0987,1.11008,1.09803,1.10862,1.1038575,1.10433,1.11571,1.10366,1.11425,1.1094875,CMC Market
2/25/2015,1.10912,1.1093,1.10868,1.10887,1.1089925,1.11475,1.11493,1.11431,1.1145,1.1146225,CMC Market
2/26/2015,1.10886,1.11303,1.10882,1.11161,1.11058,1.11449,1.11866,1.11445,1.11724,1.11621,CMC Market
2/27/2015,1.11163,1.11308,1.10715,1.11094,1.1107,1.11726,1.11871,1.11278,1.11657,1.11633,CMC Market
