Date,Open_Bid,High_Bid,Low_Bid,Close_Bid,Average_Bid,Open_Ask,High_Ask,Low_Ask,Close_Ask,Average_Ask,Broker
1/1/2015,104.828,104.93,104.806,104.911,104.86875,104.83363,104.93563,104.81163,104.91663,104.87438,CMC Market
1/2/2015,104.911,104.949,103.907,104.223,104.4975,104.91663,104.95463,103.91263,104.22863,104.50313,CMC Market
1/3/2015,104.223,104.732,104.177,104.715,104.46175,104.22863,104.73763,104.18263,104.72063,104.46738,CMC Market
1/4/2015,104.713,105.125,104.66,104.839,104.83425,104.71863,105.13063,104.66563,104.84463,104.83988,CMC Market
1/5/2015,104.84,105.057,104.577,104.832,104.8265,104.84563,105.06263,104.58263,104.83763,104.83213,CMC Market
1/6/2015,104.832,105.335,103.827,104.162,104.539,104.83763,105.34063,103.83263,104.16763,104.54463,CMC Market
1/7/2015,103.982,104.129,103.939,103.939,103.99725,103.98763,104.13463,103.94463,103.94463,104.00288,CMC Market
1/8/2015,103.942,104.029,102.853,103.111,103.48375,103.94763,104.03463,102.85863,103.11663,103.48938,CMC Market
1/9/2015,103.111,104.289,103.018,104.189,103.65175,103.11663,104.29463,103.02363,104.19463,103.65738,CMC Market
1/10/2015,104.189,104.695,104.09,104.593,104.39175,104.19463,104.70063,104.09563,104.59863,104.39738,CMC Market
1/11/2015,104.59,104.92,104.146,104.295,104.48775,104.59563,104.92563,104.15163,104.30063,104.49338,CMC Market
1/12/2015,104.294,104.474,104.196,104.224,104.297,104.29963,104.47963,104.20163,104.22963,104.30263,CMC Market
1/13/2015,104.214,104.321,104.204,104.243,104.2455,104.21963,104.32663,104.20963,104.24863,104.25113,CMC Market
1/14/2015,104.246,104.268,103.861,104.246,104.15525,104.25163,104.27363,103.86663,104.25163,104.16088,CMC Market
1/15/2015,104.248,104.747,104.025,104.222,104.3105,104.25363,104.75263,104.03063,104.22763,104.31613,CMC Market
1/16/2015,104.222,104.691,103.969,104.65,104.383,104.22763,104.69663,103.97463,104.65563,104.38863,CMC Market
1/17/2015,104.65,104.841,102.973,103.387,103.96275,104.65563,104.84663,102.97863,103.39263,103.96838,CMC Market
1/18/2015,103.384,103.583,102.001,102.33,102.8245,103.38963,103.58863,102.00663,102.33563,102.83013,CMC Market
1/19/2015,102.224,102.233,101.767,102.103,102.08175,102.22963,102.23863,101.77263,102.10863,102.08738,CMC Market
1/20/2015,102.101,102.929,102.056,102.668,102.4385,102.10663,102.93463,102.06163,102.67363,102.44413,CMC Market
1/21/2015,102.666,103.442,102.524,103.24,102.968,102.67163,103.44763,102.52963,103.24563,102.97363,CMC Market
1/22/2015,103.242,103.364,101.843,102.281,102.6825,103.24763,103.36963,101.84863,102.28663,102.68813,CMC Market
1/23/2015,102.281,102.891,102.087,102.732,102.49775,102.28663,102.89663,102.09263,102.73763,102.50338,CMC Market
1/24/2015,102.733,102.932,101.955,102.055,102.41875,102.73863,102.93763,101.96063,102.06063,102.42438,CMC Market
1/25/2015,101.998,102.238,101.96,102.238,102.1085,102.00363,102.24363,101.96563,102.24363,102.11413,CMC Market
1/26/2015,102.239,102.409,100.775,101.181,101.651,102.24463,102.41463,100.78063,101.18663,101.65663,CMC Market
1/27/2015,101.181,101.765,100.753,101.694,101.34825,101.18663,101.77063,100.75863,101.69963,101.35388,CMC Market
1/28/2015,101.693,101.693,100.801,101.468,101.41375,101.69863,101.69863,100.80663,101.47363,101.41938,CMC Market
1/29/2015,101.468,102.173,101.242,102.04,101.73075,101.47363,102.17863,101.24763,102.04563,101.73638,CMC Market
1/30/2015,102.04,102.579,101.443,102.292,102.0885,102.04563,102.58463,101.44863,102.29763,102.09413,CMC Market
1/31/2015,102.531,102.642,102.439,102.504,102.529,102.53663,102.64763,102.44463,102.50963,102.53463,CMC Market
2/1/2015,102.505,102.529,101.991,102.137,102.2905,102.51063,102.53463,101.99663,102.14263,102.29613,CMC Market
2/2/2015,102.137,102.7,102.076,102.529,102.3605,102.14263,102.70563,102.08163,102.53463,102.36613,CMC Market
2/3/2015,102.527,102.649,102.222,102.468,102.4665,102.53263,102.65463,102.22763,102.47363,102.47213,CMC Market
2/4/2015,102.468,102.533,101.698,102.173,102.218,102.47363,102.53863,101.70363,102.17863,102.22363,CMC Market
2/5/2015,102.176,102.408,101.568,101.785,101.98425,102.18163,102.41363,101.57363,101.79063,101.98988,CMC Market
2/6/2015,101.633,101.819,101.535,101.538,101.63125,101.63863,101.82463,101.54063,101.54363,101.63688,CMC Market
2/7/2015,101.535,102.132,101.383,102.076,101.7815,101.54063,102.13763,101.38863,102.08163,101.78713,CMC Market
